seed,n,dt,n_train,n_test,fitted_a,fitted_a_plus_b,fitted_b,fitted_sigma2_inf,fitted_beta,test_mean_mae,test_var_mae,mean_w2_persistence,mean_w2_gaussian,mean_w2_jko,n_mean_pairs
0,200,0.05,12,8,0.953225042233465,1.5252550486121808,0.5720300063787157,0.39981346541956153,0.6098175066343178,0.011457222951118715,0.025778553836149645,0.07514435080203392,0.06538035443735637,nan,12
1,200,0.05,12,8,1.1502285303489768,1.5664256601828137,0.41619712983383694,0.4322422145120023,0.6770752962258446,0.01517888137085123,0.013478857173276015,0.07097371302144545,0.059987288664422295,nan,12
2,200,0.05,12,8,0.839024957722403,1.4588696789179072,0.6198447211955042,0.2486607495465468,0.36276362785045685,0.012837399438982704,0.021232595323175313,0.06970958968271349,0.058338870121017954,nan,12
3,200,0.05,12,8,0.9849087007377884,1.662223111173934,0.6773144104361457,0.4342485047770557,0.7218179006331464,0.007016565332173368,0.02375826317235387,0.07117520498740516,0.06130798999366487,nan,12
4,200,0.05,12,8,0.7998421967004149,1.6727572892724536,0.8729150925720387,0.478481118210524,0.8003827782658886,0.010792715574664734,0.020547473787584508,0.07441469864731179,0.0642243423806639,nan,12
5,200,0.05,12,8,0.6929599598520134,1.6441139508983853,0.9511539910463719,0.3390715842579003,0.5574723220316312,0.017028357176406383,0.025868973435048362,0.07330449267786318,0.061826873916028764,nan,12
6,200,0.05,12,8,0.9671923729915222,1.3617359664791773,0.3945435934876551,0.17142258650520034,0.23343230151101935,0.008511742432612941,0.026796641555007383,0.06891131109299012,0.058783026952325686,nan,12
7,200,0.05,12,8,1.1957562930647898,1.3434500196466148,0.147693726581825,0.12779623059753517,0.17168784850702196,0.009397784431656259,0.03431453005309869,0.0667752928115616,0.061870494842588525,nan,12
8,200,0.05,12,8,1.1430805258349541,1.4104188745427553,0.26733834870780115,0.0847124156472014,0.1194799899369239,0.014012211932580891,0.03968383909317174,0.06677021586016932,0.06586260627340523,nan,12
9,200,0.05,12,8,0.9284247112458097,1.4795489088192277,0.551124197573418,0.37006392801106863,0.5475276808821339,0.008725557816916238,0.020377392930154795,0.0721388243070897,0.058862751899585314,nan,12
