b,numerical_variance,theoretical_variance,absolute_error,relative_error
0,0.5141317383,0.5,0.0141317383,0.02826347659
0.25,0.4126392704,0.4,0.01263927043,0.03159817609
0.5,0.3448731696,0.3333333333,0.01153983623,0.0346195087
0.75,0.2963997963,0.2857142857,0.01068551063,0.03739928721
1,0.2599968659,0.25,0.009996865879,0.03998746352
1.25,0.231648672,0.2222222222,0.009426449732,0.04241902379
1.5,0.2089438928,0.2,0.008943892796,0.04471946398
1.75,0.1903469151,0.1818181818,0.008528733301,0.04690803316
2,0.174833281,0.1666666667,0.008166614352,0.04899968611
2.25,0.1616932793,0.1538461538,0.007847125488,0.05100631567
2.5,0.1504196521,0.1428571429,0.007562509215,0.05293756451
2.75,0.1406401839,0.1333333333,0.007306850615,0.05480137962
3,0.1320755503,0.125,0.007075550317,0.05660440253
